text,sentiment
prabowo kebun sawit,Negatif
buna tuh hahahaha,Negatif
usaha tambang hutan rusak alam,Positif
real,Positif
jabat pusat daerah buka nama usaha milik bagi untung hancur alam,Positif
butuh asingmaaf pro asing evakuasi korban ya harap hidup sih korban akses susah tembus plus tambah koordinasi buruk evakuasi kelar stg wilayah nih korban meninggoy tembus puluh ribu ratus ribu lapar,Positif
tindak,Negatif
ibstitusi asai jokowi jujur ditutuo rapat rakyat coba sadar jalur hukum intervensi lalau bencana ubah perintah jujur,Negatif
cair,Negatif
tempo adu domba rakyat perintah sukses jual subscription ya ya anak anak tempo ribu tahun sukses abang abang ku moga cepat keyong reyong,Positif
menteri investasi gratifikasi menang fufuveve langsung jabat kpk fokus ujung abolisi aborshy,Negatif
viralkan dalang ya rusak hutan,Positif
pecat jabat yes men cari selamat jabatannyamuak jabat inikenapa prabowo pecat menteri jabat inianeh bin ajaibmakin percaya perintah,Negatif
nak tuduh negara jiran pahlawan hoak fitnah indondesh,Negatif
presiden konoha bilang sawit pohon daun ratus ribu lahan sawit gila maling teriak maling,Negatif
nih nggu laporanyg kasih lapor bnpb innalilahi,Positif
prabowo takut nasionalis moga rakyat indonesia satu berani rakyat bangladesh nepal,Positif
ayo luas luas luas sawit bangsa asing indonesia maju bangsa besarrrrr,Positif
tanggung bencana alam indonesia sumatera barubaru murni dampak tamak oknum tanggung abai langsung lingkung nyaman masyarakat,Negatif
pakai tewas tinggal sopan,Negatif
masyarakat tekan perintah,Negatif
percaya perintah bijak ya omon,Positif
sejelekjeleknya perintah mulyono jelek perintah,Negatif
wajib ganti kepala bnpb ya,Negatif
moga allah azab jabat tanggung bencana usia amin,Negatif
cepat usut musim hujan,Negatif
bocor alus prabowo berani ganti kapolri ikat kontrak politik mulyono,Negatif
amplop coklat tabur,Positif
nasib presiden akses informasi dibatasin,Positif
urus negeri urus orang bodoh serakah moral suka bohong legkaplah tinggal tunggu hancur negeri,Negatif
rusa hutan akibat bebcana lanjut,Positif
tambang situ izin tambang babat hutan situ tanggung jawab ya akhirat nyawa layang,Negatif
status bencana banjir bandang acehsumut sumbar bencana nasionalohh peng peng penggambatnya presiden,Negatif
indonesia ayo bangkit satu juang tegak jujur benar adil manusia daulat rakyat indonesia,Positif
kayak rakyat percaya jabat percaya ya,Positif
manusia rakus rusak hancur ekosistem hidup menzolimi alam,Positif
bayang orang citra media fakta orang egois arogan jahat negara biasa darah rawat miskin bodoh circle ya langgeng elit seremmm ya,Positif
revisi uu hutan selamat rakyat,Positif
prabowo mundur langgar konstitusi video oke chanel,Positif
kemarin oke gas oke gas,Negatif
kebon sawit wowo kabar yaoh bencana nasional ncuk,Negatif
tolong cabut izin tempo media mutu narasi sesat propaganda,Negatif
sebab jabat perintah,Negatif
satu negara pimpin jabat rusak negara ya indonesia,Negatif
gila ya kayak hidup negara autopilot,Negatif
jokowi luhut bahlil,Negatif
ya allah ya wahhab ya aziz ya rahman ya rahiim nama nama mu suci mulia ampun dosadosa engkau musibah pimpin dzalim ya allah ya tuhan maha kuasa maha sayang hambahamba terdzalimi engkau janji kabul doa orangorang terdzalimi rakyat terdzalimi mohon engkau henti kuasa kuasa usaha dzalim mohon kuasa engkau turun azab pedih jabat korupsi mohon sifat maha adil cabut nyawa jabat amanah jabat kaya buat rusa muka bumi sengsara rakyat ganti manusia manusia jabat amanah bijaksana sayang ya rabb kabul doa doa amin,Positif
rusa alam mirispemerintah tiada daya pikir kuasa vulus rakyat tonton korban teruuus sebar benar butuh jujur bijak,Negatif
jadi bencana nasional pusat hamdle kasih negara moral story urus ya lepas,Positif
biang kerok orang keliling rapat,Negatif
daya beli masyarakat ubah nyungsep rakyat jelata anggur indikasi perubahanya tunggu jangka perut butuh makan perut butuh makan perut butuh makan perut butuh makan perut butuh makan perut butuh makan sekarant perut butuh makan sekwrang,Negatif
warga sumatera tolong pilih pilih p serta partai kroni,Negatif
air ekspor iran sulit air kayu gelondong ya,Negatif
kalimat ug kota pohon nya babat luas sana depan salah,Negatif
rakyat daerah gerak ajalahusir koorposasi usak hutangubernur bupati bupati paksa dukungudah korban tunggu,Negatif
sih jabat kompeten hati nurani kabinet negara carut marut karuan rakyat makmur alam hancur eksploitasi habis hutang gila mata uang sampah nilai,Negatif
percaya perintah perintah guna,Positif
ajegile akun nak banned gegara ngungkap aktor banjir sumatera btw kasihan direktur terra drone langsung jadi sangka tengok ponpes ngakibatin korban bantu cuy konohan sehat sick,Negatif
greenpeacetempo kompor gue pikir benci perintah,Negatif
pantai tanjung setia kru lampung tongkang dampar bawa kayu duga kayu bala liar,Negatif
mending progam mbak pending juat dialhihkan penananganan bencana,Negatif
acheh sumatera merdeka,Negatif
menang kasihansekarang benarbenar menang,Negatif
jokowi rusak alam demokrasi negara adil jokowi,Negatif
salah manusia jaga alam lingkung hutan jaga babat rakus,Positif
sdm bangsa,Negatif
ironis omong deforestasi fakta menteri hutan main domino meja bareng sangka bala liar,Negatif
back online,Negatif
deh rakyat anggap numpang hidup negeri konoha digimanain negeri suka elit politik parpol oligarchmau rusak dihisap pakai hedon foya ulang tragedi moral manusia alam sedikit sentuh nurani empati idap sosiopat tinggal sikap bodoh diam manut laku apa bangkit lawan rubah,Negatif
ya revisi uu omnibuslaw investasi alam rusak ujung ya apbn andal pajak omnibuslaw untung jabat kroni jabat coba deh viral tambang investasi bentrok masyarakat ngeruk pasir sebab bencana sulit ya ubah presiden menteri tum partai anggota dpr usaha mindset usaha kuasa tolak,Negatif
balik ubah iklim program geoengineering cloud seeding oknum perintah koordinasi kemenristek who control the weather control the world utara lyndon b johnson program geoengineering rancang mematikanmelumpuhkan ironis main negeri raja thailand paten formula cloud seeding silveriodide toxic mineral tanah air udara,Negatif
mulyono again,Negatif
ganti negeri maju,Negatif
rampok teriak rampok,Negatif
gagap pemerinta salah tidak rani tindak usaha diangap biang kerok kirim balok kayu nomor patut perintah sat set satset telusur sebab musibah minimal kirim kayu kena tindak lalai selamat manusia lindung alas bencana,Negatif
turut masyarakat omonomon pasti omong rendah demo marah masyarakat demo an,Negatif
mahluk hidup alam dampak banjir longsor sumatera doa azab libat babat hutan sumatera,Negatif
hati buta tuli untung pribadi kedok maju ekonomi,Negatif
ya sosok presiden tau rakyat langsung tau sodarah kena bencana,Negatif
presiden usaha kayu takut hutan rusak,Positif
lahan prabowo aceh diapaapakan pakai konservasi satwa,Negatif
tahu info bmkg dar info,Negatif
negara sarkasnegara timpa bencana perintah bikin dunia ketawa,Negatif
bocor alus gue kuat dengar marah sedih,Negatif
mantap tempo suka kali media berita berani kayak tempo metro tv kayak media,Negatif
rocky gerungmaster lingkung hidup,Negatif
prabowo harusny mundur sih,Negatif
nyalon ya malu periode rusak deh indonesia,Positif
harap xan perintah prabowo serius hukum mati koruptor makar dll,Negatif
bnpb anggar,Positif
maaf dukung pilih pimpin kemarin,Negatif
arogan tulus hauspujianmenolakkenyataan cintatanahair cintasda alam bodoh,Positif
alam lawan ya akibat ya jabat jabat provinsi landa banjir ya bencana nasional skala luas astaghfirullah negeri ku,Negatif
king omon omon juara,Negatif
joget joget geal geol uget uget lihat hasil,Positif
menteri wamen kerja merekarasanya evaluasi diresafel produktive perintah kerja bingung bingung bingung,Positif
bencana sumatera indonesia tau bencana perintah ya,Negatif
inti pilih pimpin sembarang,Negatif
konoha beda jabat bangsat,Negatif
tau tetap bencana nasional gemoy sih raja omon omon bongkar bisnis sawit tambang sebab bencana adik gemoy coba cek bisnis gemoy lindung keluarga kawan gemoy menang ampir orang korban nurani,Negatif
sibuk salah orang koreksi doa bencana alam zaman nabi sejarah islam bencana alam zaman nabi turun manusia sadar kuasa allah swt nyata dahsyat,Positif
kendala tetap bencana nasional terima bantu negara takut negara duduk wilayah indonesia apbn akhir tip program prioritas jalan takut usut tuntas evaluasi total usaha libat tanggung rusa,Positif
enak presiden bencana presiden tanggung bencana akibat salah bijak rezim presiden tanggung dunia akhirat korban jiwa rusa derita rakyat cari bantu tri ahli pakai tri peni ggalan jokowi rasa akibat dengar kritik rakyat jauh jokowi,Negatif
dampak greenflation,Negatif
sayang rakyat kasih mie beras langsung lupa tau rezim kontribusi bencana alami,Negatif
dengar jelas pesimis harap perintah pro rakyat derita miris rakyat pilih pimpin,Negatif
omon omon bikin muak,Negatif
mensos afk,Negatif
akibat presiden tua info anak buah gercep berita akurat,Negatif
jabat negara jahat das munafik bela rakyat tikus tikus,Negatif
fungsi retret kemarin pengin menang,Negatif
ya,Positif
presiden lamban tindak,Positif
pilih blacklist keluarga kolega,Negatif
omon omon gagap tanggap,Negatif
mana stefanus pramini kagak nongol,Negatif
kesel banget dengernya ya allah takut dar ya,Positif
lahan sih wowo sumatra dtambah sih luhut,Negatif
prabowo presiden indonesia parah prabowo takut koruptor usaha tutup omon gelegar ealah wo malu ta,Negatif
negeri kayak musti tunggu rakyat marah nepal kerja anggap remeh suara rakyat bencana orang tangkap hutan gundul usaha salah,Negatif
modifikasi cuaca bmkg muncul siklon siklon cuaca,Negatif
media provokator hidup,Negatif
presiden omonomon,Positif
perintah pusat serah tanggulang bencana malu bikin nyata,Positif
selamat masyarakat fokus utama lupa kawal lidi tertib perusahaanperusahaan laku deforestasi aceh sumut sumbar lolos kompensasi,Negatif
koalisi konspirasi kolaborasi korupsi,Negatif
wowo omon omon,Negatif
gara salah pilih pimpin kompeten pihak oligarki rakyat korbansdh banget jadi musibah musibah nasional nasib rakyat konoha,Negatif
mantap prabowo presiden indonesia umur hidup,Positif
bgiamna orang laku deforestasi bersih laku deforestasiibarat tepuk air kena muka,Negatif
jelassss gamblang yahanya omon omon tanggung jawab akhirat,Negatif
hancur pimpin raja bengis solo,Negatif
orang perintah ratarata bada isi otak ciut malas gerak omonganya tindak nol faktawalaupun beda orang bada ramping kerja satset empati bencana sumpah kadang iri,Negatif
das daerah alir sungai,Negatif
zulkipli,Negatif
kebun kelapa sawit kalbar usaha milik amerika kantor singapura bicara negara negara sana pasilitas lengkap bandara adapernah perlu bandara pangkal bun sus air bandara kebun,Negatif
usut tuntas adil coba bayang sanggup bayar rugi akibat banjir pt pt hutan tanggung,Positif
omon omon serta pasu langgar hukum adil kebal hukum,Positif
eks hebat diam orang orang suara tempo takut rezim lot alias lemah otk,Negatif
bencana sumatera tangan bertanggungjawab mundur zulhas bahlilraja julikepala bnpb tegak hukum usaha backingannya gila tetap bencana nasionalmau ribu nyawa hilang tetap bencana nasionalpresiden turun,Negatif
komen gedek banget,Positif
lemu gemblung,Negatif
akibat kkn kuasa usaha rakus rakyat korban,Negatif
prabowo ku sawit ku sawit,Negatif
tragedi bunuh bangsa rakyat rencana tangkap usia rakus,Negatif
kayak pandai silat lidah aku salah maaf negara gagal lambat hadir,Negatif
ruwet banget negara ditelusuti bantu negara kagak cepat tanggap rakyat dampak banjir tinggal lapar anggar kembang kempes tau politikus,Negatif
pidato berapiapi pimpin ya kalah satset mantan presiden surabaya untung pilih beliau,Negatif
jahat banget asih informasi kasih teh bmkg nyawa selamat evakuasi masyarakat mandiri,Positif
aktor alam dalam perintah,Positif
undangundang cipta kerja sejati usaha cepat usaha jalan tol kelola hutan tambang sporadis,Positif
moga korban jadi syahid akhirat terbyar lunas,Negatif
kali presiden jabat empaticuma mentingin golongannyadan mentingin mbak dana bnpb potong,Negatif
uu ciptaker cabut ajabiar birokrasi bersihjangan satset rabas,Negatif
its back,Negatif
konflik penting kuasa,Positif
moga jabat aparat usaha libat rusak hutan sumatra celaka turun,Negatif
tunggu tunggu bocorin bocor bocor min longsor tuh sih zulhas,Negatif
ari rompak oke gas oke gas torang oke gas pilpres kah,Negatif
ya sih praboowooo pelakunyaaaaaaa,Positif
indonesia sdjh negara asai mafia tipu bohong langgar atur hukum kolaborasi hancur negara masif,Negatif
diri macan dinegri,Negatif
nepalkan,Negatif
biang orang produk orba korupsi harga mati,Positif
prabowo omon omon kosong susun strategi bangun,Negatif
bahan jenaka perintah,Negatif
mbak rara pawang hujan nih benar sakti bantu saudara sumatera banjir,Negatif
response perintah bagus aku gagal lindung warga maaf bantu miliarkk perintah thailand banjir sumatera perintah kroni ajang citra curi start kampanye selubung milu milu malu,Negatif
biang kerok sawit pohon hutan daun pemimimpinnya go blok,Negatif
kanjuruhan diam usah bicara harga nyawa,Negatif
tombol prabowo takut jokowi,Negatif
gua selagi hutan sumatra rusak ekplorasi tambang ilegal sawit ilegal banjir,Negatif
percaya jabat indonesia tahap percaya indonesia negara sarang mafia mesti survive,Negatif
anda bencana nasional umum besuk pesawat heli bahan ratus orang diselamatkanhidup jokowiiiiii hidup kelapa sawitttttttt,Negatif
tuju,Negatif
bukti jahat mulyono rakyat kutik hadap gerombol,Negatif
omon sawit pohon daun akar bobby kertanegara harimau papi cakar kumis gigi taring meooong,Negatif
sifat prabowo senang lapor bpk senang suka gaya feodalakhir ya keliling jilat orang profesional,Positif
tempo kerjaanya cuman provokasi kasihan rakyat sumatra kena bencana alam tambah provokasi greenpeace tempo biar suasana hati panas bencana cuman sumatra malaysia thailand thailandpun ratus orang tinggal cuman salah perintah prabowo jabat thailand malaysia prabowo banjir ratus orang tinggal,Negatif
jabat rangkap usaha banjir sumatra,Negatif
manusiamanusia bala hutan sumber bencana tel dekat orang tinggal sumut aceh sumbar manusia bala hutan tebang leher rusa alam,Negatif
pimpin maling duduk mewah jabat daerah pimpin indonesia maling mental bangsa mental maling,Negatif
atas reboisasi hutan jabat amanah contoh ya kdm tambang,Positif
tempo langsung terjun lapang sumbang bantu saudara sumatera,Positif
enak seklai orang jakarta seberang tinggal kasih izin makan fee uang suap sumatera adzab hancur tambang bala hutan kaliankasih oligarki rakus lindung aparat tepuk tangan pandai,Negatif
biang telur,Negatif
presiden tebang hutan tambang kelola swasta pasu negara significant henti rusak lingkung sengsara rakyat,Negatif
bencana alam bencana omon omon dongok,Negatif
ya tri hutan esdm dsb kait orang paham ranah urus,Positif
menhut mundur rakyat tinggal jenazah ya tahu tahan jabat hutan gundul marga satwa punah tanggung bp rakyat korban,Negatif
jahat akal sehat iblis cium tangan saking jahat jabat,Negatif
orba siraja kayu babat hutan kalimantan ambil kayu siraja kayu teduh bawah pohon beringin,Negatif
bagus kepala bmkg ya sisa ambyarrrrr negeri prediksi cuaca iklim harga konoha,Positif
jaman probo sutedjo,Negatif
polisi hutan orang hutan bobok mabok,Positif
wenang prabowo orang situasi lapang bnpb akses kepalakepala daerah lapor intelijen bmkg early warning system selemahlemahnya iman prabowo lihat berita lihat medsos dsb informasi lambat jawab peduli bencana anak buah,Positif
hidup prabowo,Negatif
harap perintah dengar jelas jadi beliau tim kerja,Positif
hadewwbonyok gwe lahan gwe sebab,Negatif
menit era mulyono nyabut undang pelihara lingkung anggap halang laju investasi gilaaaak orang ceking kurus kayak maruk rakuus,Negatif
manusia adil adab kemanusian serakah biadab,Positif
luhut bilang spa sumbang orang negara rusa dilakukn luhut man faat masyarakat alam rusak kaya ya kuras luhut masyarakat miskin,Negatif
jadi malu hasil proses busuk birokrasi tangan jadi skala dahsyat,Positif
seret jabat izin tebang hutan,Negatif
tegas jabat negeri ikut keruk alam hancur,Negatif
rehabilitasi hutan san usaha ilegal ganti rugi ekosistem minimal ratus triliun bayar ijin soeharto soeharto tanggung,Negatif
erti orang omong momentum montummomentum maksud nyaapa selau momentum bergerakterlambat selau nungu momentummenurut pikir rubahyg pikir gim mencega jadi jadi terjaditers analisa bajak liar ters berlanjutsaya orang bekompetan bidang initapi tolong tindak pemrintabuat bijak bepihak rakyat selau untuk oligarki rakus,Negatif
salah urus bangsa inimiris,Negatif
indonesia pimpin manusia otak manusia dasar angkara,Positif
nih cntohnya tn dtmbh kerja becus kayak kpla bnpb pas tn jaga kdaulatan n perang sokn dtmbh jbtn luar militer plonga plongo,Negatif
ya rab smogaa perintah ubah laku ya biar nih indonesia,Positif
propinsi sumatera desember peluang hujan kah propinsi sumatera ya susul,Positif
akhir bilang milik sebab banjir parah bikin akak ya ampuuuuuun salah pilih orang,Negatif
bayang perintah daerah sistemmmmmmm kayak,Negatif
channelnya,Negatif
kerah tni bantu bencana,Negatif
macan keok kucing garong solo,Negatif
rakyat dengar omong bijak perintah bikin ngelus dada,Negatif
pilih presiden tangkap penjara jabat jabat rendah tinggi,Negatif
sila ai korporasi milik lahan sawit besar sumatera juta hektar,Positif
perintah bencana,Negatif
pagar laut tenggelam mana poin tarik usaha butuh perintah kondisi keluar sertifikat milik laut laut caplok hutan brgnya habis balak,Positif
tuju sih sisi massive tempo sorot illegal logging,Negatif
loh comeback channelnya,Negatif
rindu uncle pram mana,Negatif
apatis demokrasi reformasi silit mambu mending zaman orba,Negatif
zulhas ingat horrison ford cengangas cengenges tanggap santai malu,Positif
bencana ubah iklim rusa alam manusia tambah perintah amburadul jabat peka sungguh manusia baik usak bumi makhluk korban,Negatif
salah salah sikon musibah penting bangsa bangsa sadar sadar sadar iman sadar bangsa tanah air indobesia selesai debat sadar sadar tanggung pri manusia pri adil pri laku laku,Negatif
efek kuasa jabat serakah menzolimi rakyat ya,Positif
bencana perintah bobrok,Negatif
pahlawan buka trigger deforestasi,Negatif
daya rusak jokowi uu ubah cuan,Negatif
jokowi,Negatif
ya allah dengernya tok pengin menang loh jahannam paara usak kekal neraka,Positif
ijasah jokowi investigasi bocor alus berani ya bocor alus investigasi a,Negatif
rezim sntly bin dngo,Negatif
miris tonton video ya allah ya rabb,Positif
percaya sih ya langkah perintah,Positif
iman ya ternyataz gelap mata bencanawar,Negatif
dana darurat pokok kahir tuh duka,Positif
sayang masyarakat daerah informasi betapa buruk perintah tau info media televisi filter rupa corong kuasa,Negatif
kali presiden lambat gerak tutup informasi circle tedy,Positif
lihat berita isi negatif laku selenggara negara bikin asam lambung,Positif
aceh sumut sumbar indonesia,Negatif
bencana besar perintah,Negatif
adil usaha usak hutan cabut izin ya proses hukum miskin,Negatif
korban mana nih nurani,Negatif
rezim jokowi parah kelola negara,Negatif
dpr perintah salah gugat lembaga gugat harap dpr awas kerja perintah ugal an eg tahu dpr kumpul maling,Negatif
mulyono prabowopaling bertg,Negatif
tv tempo tempe tempik,Negatif
kunci tri jaman prabowo berani,Negatif
mbak bencana banjir anggap bencana nasional aneh,Negatif
karma hukum ngeri timpa jabat korup serakah,Negatif
bahas narsum top,Positif
bubble keliling prabowo jadi tsunami aceh silam surabaya sigap langsung berangkat papua aceh awal beda prabowo gibran,Negatif
omon omon adil biang keladi kiamat,Negatif
prabowo mati langkah hadap banjir sumatera lepas milik lahan tambang sawit berani ungkap orang rusak hutan prabowo mudah serang,Positif
longsor tuh aceh sumut sumbar perintah ya,Positif
joget gemoy solusi kaum,Positif
judul sosok belah judulqpakah kait,Positif
omong kosong percaya lepada pimpin lembaga negaraindoneasa bubar,Negatif
omon omon bukti omon sih luhut pelihara,Negatif
kritik amran tuh lihat kdm kritik aksi lapang sisi manusia kadang aneh lihat tempo berani kritik aksi nyata nol mohon maaf,Positif
jaman orba,Negatif
maaf bocor alus mohon bantu dunia internasional nama manusia saudara sumatera aceh,Negatif
salah pilih manipulasi pilih ya,Negatif
efektif bangun kanal kendali banjir,Positif
presiden ya omon green peace omon green peace real,Positif
sawit kagak ngaruh rakyat pribadi doang,Negatif
presiden bowo kayak sechaos,Negatif
bayang derita tinggal dalam mobil,Positif
hasil milu curangtdk berkah rusak rusak,Positif
ulah usaha kayu ilegal logging milik bowok konco ya sih opung moga rezim omon omon laknat allah amin,Positif
kena siklon ri sri langka malaysia thailand vietnam parah ri sri langka akibat tata ruang ekologi terap laku benah tata ruang tugas perintah pusat,Negatif
jaman tebang pilih pilih bagus hti untung sawit siaphatga minyak goreng mahal,Negatif
bowo sibuk urus mbak,Negatif
sedih sedih lihat sih konoha hukum perintah percaya rakyat korupsi halah tapigimana wni,Negatif
setia bocor alus semangat juang benar adil moga sehat lindung allah swt amin,Positif
adil jokowi,Negatif
gue dias hurricane cyclone ingat minggu ditv nasional kali tahun bencana kadang putar haluan,Negatif
nepalkan prabowo,Negatif
perintah takut bencana nasional,Negatif
jokowi anjing,Negatif
jabat ganti orang jepang belanda ya,Negatif
lame duck sungguh tega bilang bapa lo hormat tua surabaya kalla sat set hadap bencana,Negatif
dalang pt toba pulp lestari pimpin orang china turun tinghoa kerja luhut lingsir tinggal indonesia rugi rakyat pecat balikin negara ya kayak israel mah,Negatif
prabowo ribu hektar lahan alih fungsi sawit areal dampak banjir aceh rakus,Negatif
rusak hutan kuasa pusat hoping ya oligarki biadab bisa rusak hutan ugal an jaga lestari hutan,Positif
bencana rakyat derita bencana serakah pimpin,Negatif
perut wowok buncit entar sawit,Negatif
rakyat indonesia doa moga perang dunia hujan lebat badai tropis keteter perang lingkung hidup jaga,Negatif
hukum tabur tuai kuasa apa kaya apa rasa sedih korban bencana,Negatif
presiden accessible ya,Positif
presiden suka pelihara jabat becus,Positif
kaaann,Negatif
bencana alam bencana warga indonesia perintah inkompeten,Negatif
tau siklon tropis sebab ulah manusia rusak alam,Negatif
prabowo sawit pohon tuhan ampun karen,Negatif
percaya perintah stir tokoh,Positif
kuliah capek ajar sehat lingkung amdal dll dunia nyata buaanyak usaha diri bayar uang terbit amdalnya lapang bencana warga korban bodo,Negatif
kali lihat sosok prabowo pilih cinta indonesia diam sunyi sepi,Negatif
plistolong catat tuh nama usaha viralkan biar saham anjlok,Negatif
perintah isi orang kosong otak manusia iba tau abai cari bikin alesan biar disalahin rakyat teman pilih depan yuk cari background perintah intelektual gua ngira pimpin atas kategori mafia pikir sawit astaga tua tua gemas ya subhanallah naudubillah,Negatif
alhamdulillah pilih sih omon omon,Negatif
uang haram masuk perut jabat ngawur nyata contoh pratikno bilang bencana daerah bencana waris jokowi sayang prabowo tanggap sikap parah rusak hutan ganti kebun sawit,Negatif
greenpeace presentasi hadap presiden pegang bijak langsung tangan hutan,Positif
ormas lantang tolak omnibus law keras cabut bhp ya bukti prediksi bijak omnibus law i i rembet rusak luas,Negatif
perintah jadi bencana nasional langsung,Negatif
perintah jajah kotor serakah korup buah bencana republik,Negatif
jokowi pas debat polpres prabowo lahan ribu hektar aceh ribu hektar kalimantan timur jokowi ya,Positif
pecat menteri tinggal firaun jokowi,Negatif
p,Negatif
jokowi jilid sykurlah periode nyoblos,Negatif
mantan danjen kopassus nol rantai komando,Negatif
presiden uji dewasa demokrasi indonesia awas guna biar bawa bencana bijak anti sentimen politik akal sehat warga negara,Negatif
heran banget prabowo ajar pegang handphone sosmed ngandelin anut habis senang,Negatif
prabowo awal jarah hutan brutal presiden ngeri lebar gundul hutan sentuh hukum indonesia hukum amburadul jabat kebal hukum sentuh hukum rakyat korban ratus ribu tinggal dunia hilang kerja rumah satu teduh,Negatif
oh uunya ubah lemah pantesan semena mena tanam sawit hutan ya allah lindung kerja raja jawa,Positif
jokwi jokowi,Negatif
bmkg bilang anomali cuaca jabat pusat daerah amat cinta lingkung tempo cuek bangsa bisa salah indonesia kurang orang cerdas sok pandai jadi,Negatif
bencana alam bencana nama perintah,Negatif
p prabowojk pakai orang ya jokowialam gejolak indonesia hancur rakyat derita,Negatif
menit data dapat era jokowi rusa hutan masif legal hukum sumatera jawa kalimantan sulawesi malu utara ntb papua,Negatif
tempo wajib perintah ngo tata investasi hutan tambang investasi tata ya amburadul,Negatif
bnkg presiction selalu accurate japanmasyarakat selalu ambil peduli dngn warning bmkg,Negatif
indonesia tuhan kayak tuhan lucu,Positif
selamat nikmat bencana salah pilih pimpin salam luhut jokowi keluarga antek habis nikel sulawesi tunggu antri,Negatif
duit barang ya swadaya masyarakat biasa komunitas berkerjasama diskus biasa saing saing nilai rumah mobil bawa jabat,Positif
bencana konstitusi,Negatif
siklon tropis cipta tuhan buat manusia opini how low can you go greenpeace,Positif
bnpb basarnas bubar lembaga badan negara lelet,Negatif
air bohong karya harrys ayub air deras dorong batangbatang pohon turun bukit hilang suara lapor rahasia bocor sungai arus amuk sapu rumah manusia jadi tubuhtubuh angka statistik tunjuk langit salah hujan hina awan paksa sangka buat luka lindung meja rapat gelar jumpa pers wajah prihatin tangan bersih hati hutan tuduh air tuduh bukti teriak bibir negeri keras bohong percaya,Negatif
kondisi negara voter prabowo gibran kontribusi rusa pilih,Negatif
astra group otomotif,Negatif
wo asu,Negatif
bongkar menyensarakan rakyat serakah puas moga azab allah swt timpa orang serakah,Negatif
guna gaji digitt tunjang abdi,Positif
perintah takut diauditmakanya jadi bencana nasional,Negatif
tindak presiden kroni kebun sawit,Negatif
tunggu bencana jawa hutan terbagibagi capai juta ha kepmen lhk bijak khdpk alih fungsi garap tani,Positif
sumatera fungsi sungai hidup makhluk hidup sekitardi dlmnya fungsi sungai buang limbah tambang,Negatif
jurnalissdan rakyat bongkar biar prabowo tata ulang,Negatif
dear jurnalis tempo team doa sehat umur lancar rezeki limpah lindung allah swt mudah abar berita aktual fakta jujur ya,Positif
moga pres sadar bubblenya singkir ganti orang kritis,Negatif
perintah kes lembaga diri kurang lembaga damping benarbenar mandiri,Negatif
ampunampun serakahoizin rubah,Negatif
lihat video edar medsos jadi parah tsunami aceh,Positif
rusa hutan lingkung muasalnya awal presiden surabaya tri hutan ya zulhas parah jokowi tri hutan zulhas parah prabowo tri hutan zulhas ganti raja prabowo andil bencana ribu hektar tanah aceh sumatra sawit usah hubung hutan bahan tambang prabowo andil untung ya surati berulamg kali cinta alam rusa hutan daerah propinsi presiden acuh bencana bmkg berita hujan angin negara respon negara dzolim,Positif
betapa gagap serang negara,Negatif
partai usak hutan pilih biar degradasi milu,Negatif
jabat salah alam tanda orang ber iman pasti pijak ber tentang agama,Negatif
penak jaman wkwk nurun mantu ya wkwk,Negatif
presiden woad waid bersih ucap bencana nasional takut,Negatif
bencana alam kau alam,Negatif
hati rakyat indonesia adu domba kpentingan asingaseng pecah mari perang ganti pimpin jahat ganti pimpin milu pimpin jahat guys pilih partai ganti partai,Negatif
bencana inkompetensi mah,Negatif
omon doang wo parah sih jokowi,Negatif
raja juli bunuh,Negatif
rusak negeri jokowidilanjutkan prabowoyg omon,Negatif
daya serap pohon asli pohon tuhan tumbuh situ banding pohon sawit ya manusia bodoh,Positif
ulah sih tedy jenderal dzolim blokir informasi prabowo moga sih tedy azab mati ya allah sbab slma beliau mnutupi informasi mmbuat rakyat korban,Negatif
bencana alam bencana moral manusia pimpin negara indonesia,Negatif
simole prabowo langgar konstitusi kursi president what you expect from this man,Negatif
lo omong data bukti riil contoh data usaha,Negatif
viralkan partai oposisi cek balance,Negatif
uu cipta kerja omnibuslow mutih lho astaga istilah ilegal bayar denda diterusin legal negara rugi bencana pulih dll alam terima bayar denda dbacking coklat ijo jajah negeri,Positif
kesel presiden serta jajar jabat pmerintah pokok keselllll banget,Positif
wartawan tempo mohon daerah pt barapala operasi camat sihapas barumun kab palas,Positif
gantung bmkg iya perhati ahli kait cuaca ya,Positif
apa indonesia solusi mbak,Negatif
harap apapresidennya kayak pilih menteri kayak tegak hukum polisi tni kpk dll kayak dpr bikin uu enak udelnyarakyat suruh mikir,Negatif
telinga jabat tipis kritik bijak mudah baperan muka badak malu program hasil rakyat bilang indonesia bubar bukti pepatah tepuk air piring hadap,Negatif
terima kasih prabowo,Positif
wowo diemdak ngancem agresif diakenapa ya kolega sawit disitubeda diagalaknya kalah malaekat hukum,Negatif
bocor alus ala tempek,Negatif
akibat serakah kuasa kongkalikong oligarki hutan sumatera babat kebun sawit pabrik kertas,Negatif
prabowo kemarin sumatera lihat kebun sawit lihat bencana sumatera,Negatif
prabowo becus kontrol kerja menteri tunggu lapor menteri cenderung habis senang anda prabowo turun lapang mudah bohong lapor lapor fiktif menteri,Positif
prabowo pilih presiden menang kawasan bencana fix bencana ulang,Negatif
sah uu ampas aset koruptor negara hancur koruptor,Negatif
salah bnpb pilih jokowi ya,Negatif
